GEOID,NAME,variable,population,moe,distance,minute,hour,geometry
130890219061,"Block Group 1, Census Tract 219.06, DeKalb County, Georgia",B01003_001,1756,405,22.61509724,28.46615643,0.47443594100000003,"list(list(c(-84.185422, -84.184537, -84.182526, -84.182231, -84.181351, -84.17954, -84.178688, -84.178541, -84.177158, -84.176097, -84.175305, -84.172497, -84.172478, -84.172487, -84.172489, -84.172507, -84.171513, -84.171761, -84.171873, -84.173965, -84.174923, -84.176736, -84.179334, -84.182401, -84.183989, -84.185896, -84.185422, 33.792756, 33.793999, 33.794592, 33.79467, 33.794863, 33.795865, 33.797101, 33.797292, 33.799005, 33.799724, 33.799751, 33.800691, 33.798392, 33.795724, 33.7957, 33.794918, 
33.791237, 33.790684, 33.790428, 33.790616, 33.790577, 33.79046, 33.790215, 33.78995, 33.789584, 33.789036, 33.792756)))"
131210105081,"Block Group 1, Census Tract 105.08, Fulton County, Georgia",B01003_001,399,204,6.08754663,11.2061358,0.18676893,"list(list(c(-84.471177, -84.463749, -84.458528, -84.458556, -84.458621, -84.458625, -84.458627, -84.46202, -84.46455, -84.465549, -84.468047, -84.468985, -84.468297, -84.469106, -84.471177, 33.600081, 33.599987, 33.599938, 33.594436, 33.588999, 33.588505, 33.586456, 33.58777, 33.588154, 33.588286, 33.588609, 33.588731, 33.593252, 33.596583, 33.600081)))"
130670302491,"Block Group 1, Census Tract 302.49, Cobb County, Georgia",B01003_001,3273,653,35.3482703,45.8447494,0.764079157,"list(list(c(-84.612506, -84.611919, -84.610515, -84.602629, -84.600503, -84.600123, -84.60024, -84.601283, -84.601444, -84.602043, -84.602257, -84.60422, -84.608207, -84.609355, -84.609651, -84.611849, -84.612645, -84.612506, 34.00869, 34.01013, 34.011398, 34.004676, 34.003381, 34.002088, 34.002102, 34.002146, 34.002175, 34.002054, 34.002098, 33.999307, 33.99764, 33.997602, 33.998468, 34.000052, 34.001534, 34.00869)))"
130630403091,"Block Group 1, Census Tract 403.09, Clayton County, Georgia",B01003_001,171,118,6.12280887,9.7885136,0.163141893,"list(list(c(-84.365179, -84.359591, -84.353792, -84.353595, -84.355602, -84.355786, -84.354475, -84.356018, -84.356951, -84.358039, -84.35843, -84.358697, -84.36396, -84.363976, -84.365306, -84.365179, 33.647812, 33.647893, 33.647812, 33.647733, 33.647558, 33.640742, 33.640673, 33.639199, 33.638232, 33.636011, 33.634299, 33.634804, 33.644732, 33.644751, 33.647809, 33.647812)))"
130670305072,"Block Group 2, Census Tract 305.07, Cobb County, Georgia",B01003_001,770,162,34.04161407,45.52775286,0.758795881,"list(list(c(-84.52833, -84.522499, -84.516749, -84.516, -84.515787, -84.512584, -84.505743, -84.502457, -84.503522, -84.506878, -84.508332, -84.513588, -84.515577, -84.515773, -84.518195, -84.519535, -84.52102, -84.527171, -84.527542, -84.5272, -84.52833, 34.019956, 34.020663, 34.020356, 34.015245, 34.012105, 34.009386, 34.002986, 34.001731, 34.00029, 34.000817, 34.001832, 34.002274, 34.004141, 34.007263, 34.007803, 34.009424, 34.009328, 34.008245, 34.010732, 34.01636, 34.019956)))"
130890226021,"Block Group 1, Census Tract 226.02, DeKalb County, Georgia",B01003_001,2170,382,21.34020457,26.89413827,0.448235638,"list(list(c(-84.290098, -84.289551, -84.283616, -84.282485, -84.280576, -84.280397, -84.280387, -84.279336, -84.279348, -84.279389, -84.279039, -84.278906, -84.279309, -84.279797, -84.279915, -84.280513, -84.280301, -84.282807, -84.284519, -84.287766, -84.289116, -84.288758, -84.288925, -84.290138, -84.290098, 33.787532, 33.787532, 33.787525, 33.784102, 33.784105, 33.784104, 33.78461, 33.784596, 33.783866, 33.780203, 33.779563, 33.779474, 33.778983, 33.778387, 33.778246, 33.776983, 33.776443, 33.776137, 
33.776198, 33.77567, 33.779226, 33.782676, 33.786148, 33.786644, 33.787532)))"
131210120002,"Block Group 2, Census Tract 120, Fulton County, Georgia",B01003_001,718,273,9.25959667,12.22635623,0.203772604,"list(list(c(-84.4014, -84.398349, -84.398318, -84.392148, -84.391861, -84.39192, -84.39202, -84.393286, -84.393547, -84.394404, -84.397093, -84.399103, -84.400005, -84.4014, 33.734475, 33.73438, 33.736934, 33.736833, 33.736833, 33.732588, 33.731807, 33.727875, 33.725895, 33.726575, 33.728196, 33.730503, 33.731602, 33.734475)))"
132171007012,"Block Group 2, Census Tract 1007.01, Newton County, Georgia",B01003_001,1858,700,41.03399847,50.46914501,0.841152417,"list(list(c(-83.863981, -83.859269, -83.858849, -83.85761, -83.85355, -83.850386, -83.850259, -83.849723, -83.851495, -83.858259, -83.86088, -83.86171, -83.862172, -83.862125, -83.864102, -83.863981, 33.576487, 33.576593, 33.57908, 33.580377, 33.581036, 33.572339, 33.571976, 33.570495, 33.570045, 33.56724, 33.56674, 33.567849, 33.569797, 33.571137, 33.575611, 33.576487)))"
131350504152,"Block Group 2, Census Tract 504.15, Gwinnett County, Georgia",B01003_001,768,190,30.42858486,33.48209267,0.558034878,"list(list(c(-84.120436, -84.11735, -84.115953, -84.104838, -84.101772, -84.098308, -84.097376, -84.096054, -84.095357, -84.095889, -84.095598, -84.093683, -84.097125, -84.097908, -84.100593, -84.102515, -84.104101, -84.106217, -84.110934, -84.113171, -84.118623, -84.120819, -84.120436, 33.822737, 33.822567, 33.822678, 33.824727, 33.82528, 33.825827, 33.82622, 33.825488, 33.822595, 33.820203, 33.817564, 33.813228, 33.810666, 33.810127, 33.813599, 33.815436, 33.816436, 33.817348, 33.81447, 33.814202, 
33.817372, 33.820423, 33.822737)))"
131210112042,"Block Group 2, Census Tract 112.04, Fulton County, Georgia",B01003_001,698,266,9.2284745,11.79383837,0.196563973,"list(list(c(-84.449535, -84.449449, -84.448014, -84.446309, -84.443851, -84.44611, -84.445375, -84.444442, -84.444292, -84.446702, -84.448492, -84.449689, -84.449535, 33.702308, 33.70563, 33.705677, 33.705598, 33.705617, 33.702967, 33.701998, 33.699135, 33.69874, 33.698031, 33.698039, 33.69829, 33.702308)))"
